"name" "value"
"Teda" "Patrilocal"
"Zenaga" "Patrilocal"
"Siwans" "Patrilocal"
"Mzab" "Patrilocal"
"Kel Antessar" "Patrilocal"
"Kababish" "Patrilocal"
"Barabish" "Patrilocal"
"Aulliminden" "NA"
"Tuareg Ahaggar" "Patrilocal"
"Barabra" "Patrilocal"
"Zekara" "Patrilocal"
"Guanche" "Patrilocal"
"Algerians" "Patrilocal"
"Hamama" "Patrilocal"
"Hamyan" "Patrilocal"
"Jebala" "Patrilocal"
"Moroccans" "Patrilocal"
"Nail" "Patrilocal"
"Saadi" "Patrilocal"
"Sahel" "Patrilocal"
"Egyptians" "Patrilocal"
"Sanusi" "Patrilocal"
"Tunisians" "Patrilocal"
"Riffians" "Patrilocal"
"Kabyle" "Patrilocal"
"Shluh" "Patrilocal"
"Ancient Egyptians" "Neolocal"
"Beraber" "Patrilocal"
"Shawiya" "Patrilocal"
"Tekna" "Patrilocal"
"Gheg" "Patrilocal"
"Portuguese" "Patrilocal"
"Ancient Romans" "Neolocal"
"French Basques" "Ambilocal"
"Neapolitans" "Neolocal"
"Spaniards" "Neolocal"
"Greeks" "Patrilocal"
"Spanish Basques" "NA"
"New Englanders" "Neolocal"
"Boers" "Patrilocal"
"Tristan da Cunha" "Neolocal"
"Brazilians" "Neolocal"
"French Canadians" "Neolocal"
"Dutch" "Ambilocal"
"Icelanders" "Patrilocal"
"Irish" "Patrilocal"
"Sami" "NA"
"Walloons" "Neolocal"
"Serbs" "Patrilocal"
"Romanians" "Neolocal"
"Russians" "Neolocal"
"Hutsuls" "Neolocal"
"Czechs" "Patrilocal"
"Mari" "Neolocal"
"Bulgarians" "Patrilocal"
"Byelorussians" "Ambilocal"
"Ukranians" "Patrilocal"
"Magyar" "Patrilocal"
"Lithuanians" "Patrilocal"
"Kalmyk" "Patrilocal"
"Armenians" "NA"
"Kurd" "Patrilocal"
"Abkhaz" "Patrilocal"
"Khevsur" "Patrilocal"
"Kumyk" "Neolocal"
"Cherkess" "Patrilocal"
"Turks" "Patrilocal"
"Ossetians" "Patrilocal"
"Chechen" "Patrilocal"
"Georgians" "Patrilocal"
"Svan" "Patrilocal"
"Syrians" "Patrilocal"
"Madan" "Patrilocal"
"Rwala" "Patrilocal"
"Hebrews" "Patrilocal"
"Babylonians" "Ambilocal"
"Mutair" "Patrilocal"
"Jordanians" "Patrilocal"
"Lebanese" "Patrilocal"
"Druze" "Patrilocal"
"Yemeni" "Patrilocal"
"Sindhi" "Patrilocal"
"Marri" "Patrilocal"
"Ghilzai" "Patrilocal"
"Qashqui" "Patrilocal"
"Punjabi" "Patrilocal"
"Yusufzai" "Patrilocal"
"Hazara" "Patrilocal"
"Kohistani" "Patrilocal"
"Nuristani" "Patrilocal"
"Basseri" "Patrilocal"
"Moghol" "Patrilocal"
"Bakhtiari" "Patrilocal"
"Iranians" "Patrilocal"
"Kazakh" "Patrilocal"
"Tu" "Patrilocal"
"Khalka" "Patrilocal"
"Dagur" "Patrilocal"
"Turkmen" "Patrilocal"
"Buryat" "Patrilocal"
"Chahar" "Patrilocal"
"Uzbek" "Patrilocal"
"Nivkh" "Patrilocal"
"Ob Ostyak" "Patrilocal"
"Selkup" "Patrilocal"
"Yakut" "Patrilocal"
"Chukchi" "NA"
"Yurak-Samoyeds" "Patrilocal"
"Koryak" "NA"
"Yukaghir" "NA"
"Ainu" "NA"
"Ket" "Patrilocal"
"Nanai" "Patrilocal"
"Koreans" "Patrilocal"
"Shantung" "Patrilocal"
"Ishigakians" "Patrilocal"
"Man" "Patrilocal"
"Miyakans" "Patrilocal"
"Chekiang" "Neolocal"
"Cantonese" "Patrilocal"
"Lolo" "Patrilocal"
"Manchu" "Patrilocal"
"Miao" "Patrilocal"
"Japanese" "Patrilocal"
"Min Chinese" "Patrilocal"
"Okinawans" "Patrilocal"
"Minchia" "Patrilocal"
"Li" "Patrilocal"
"Adi" "Patrilocal"
"Burusho" "Patrilocal"
"Lepcha" "Patrilocal"
"Central Tibetans" "Patrilocal"
"Shina" "Patrilocal"
"Sherpa" "Patrilocal"
"Kachari" "Patrilocal"
"Magar" "Patrilocal"
"Santal" "Patrilocal"
"Bihari" "Patrilocal"
"Uttar Pradesh" "Patrilocal"
"Bengali" "Patrilocal"
"Indo-Iranian" "Patrilocal"
"Ho" "Patrilocal"
"Bhil" "Patrilocal"
"Kurukh" "Patrilocal"
"Pahari" "Patrilocal"
"Kashmiri" "Patrilocal"
"Gujarati" "Patrilocal"
"Chenchu" "Ambilocal"
"Telugu" "Patrilocal"
"Koya" "Patrilocal"
"Khond" "Patrilocal"
"Muria Gond" "Patrilocal"
"Reddi" "Patrilocal"
"Tamil" "Patrilocal"
"Madia" "Patrilocal"
"Toda" "Patrilocal"
"Kodavas" "Patrilocal"
"Kerala" "Neolocal"
"Hill Bhuiya" "Patrilocal"
"Kol" "Patrilocal"
"Baiga" "Patrilocal"
"Andamanese" "Ambilocal"
"Betsileo" "Patrilocal"
"Merina" "Patrilocal"
"Tanala" "Patrilocal"
"Vedda" "Matrilocal"
"Nicobarese" "NA"
"Sinhalese" "NA"
"Antandroy" "Patrilocal"
"Sakalava" "Patrilocal"
"Antaisaka" "Patrilocal"
"Garo" "Matrilocal"
"Chakma" "Patrilocal"
"Aimol" "Patrilocal"
"Thado" "Patrilocal"
"Angami" "Patrilocal"
"Ao" "Patrilocal"
"Rengma" "Patrilocal"
"Sema" "Patrilocal"
"Karbi" "Patrilocal"
"Palaung" "Patrilocal"
"Chin" "Patrilocal"
"Lhota" "Patrilocal"
"Kuki" "Patrilocal"
"Burmese" "Neolocal"
"Maras" "Patrilocal"
"Kachin" "Patrilocal"
"Purum" "Patrilocal"
"Karen" "Matrilocal"
"Khasi" "Matrilocal"
"Mogh" "Patrilocal"
"Lamet" "Patrilocal"
"Rade" "Matrilocal"
"Cham" "Matrilocal"
"Lawa" "Patrilocal"
"Muong" "Patrilocal"
"Senoi" "Ambilocal"
"Ancient Khmer" "Neolocal"
"Negri Sembilan" "Matrilocal"
"Mnong Gar" "Matrilocal"
"Semang" "Patrilocal"
"Annamese" "Patrilocal"
"Khmer" "Neolocal"
"Moken" "Neolocal"
"Akha" "Patrilocal"
"Malays" "Patrilocal"
"Thai" "Neolocal"
"Atayal" "NA"
"Bunun" "Patrilocal"
"Puyuma" "NA"
"Sugbuanon" "Neolocal"
"Badjau Tawi-Tawi" "Ambilocal"
"Tao" "Patrilocal"
"Manobo" "Patrilocal"
"Kalinga" "Matrilocal"
"Bilaan" "Neolocal"
"Bisayan" "Neolocal"
"Sagada" "Ambilocal"
"Ifugao" "Ambilocal"
"Subanun" "Ambilocal"
"Hanunoo" "NA"
"Paiwan" "NA"
"Tagbanua" "NA"
"Bontok" "NA"
"Ami" "Matrilocal"
"Iban" "Ambilocal"
"Javanese" "Neolocal"
"Balinese" "Patrilocal"
"Toba Batak" "Patrilocal"
"Kadazan-Dusun" "NA"
"Minangkabau" "Neolocal"
"Mentaweians" "NA"
"Anak Dalam" "Ambilocal"
"Punan" "NA"
"Macassarese" "Ambilocal"
"Tobelorese" "NA"
"Ambonese" "Patrilocal"
"Sumbawanese" "Neolocal"
"Kodi" "Patrilocal"
"Alorese" "NA"
"Belu" "Matrilocal"
"Rotinese" "Patrilocal"
"Toradja" "Matrilocal"
"Tanimbarese" "Patrilocal"
"Ili-Mandiri" "Patrilocal"
"Kei" "Patrilocal"
"Sumbanese" "Patrilocal"
"Northern Aranda" "Patrilocal"
"Walbiri" "Patrilocal"
"Gidjingali" "Patrilocal"
"Yir Yoront" "Patrilocal"
"Anindilyagwa" "Patrilocal"
"Yolngu, Dhuwal" "Patrilocal"
"Tiwi" "NA"
"Diyari" "Patrilocal"
"Kariyarra" "Patrilocal"
"Wikmunkan" "Patrilocal"
"Murriny Patha" "Patrilocal"
"Tasmanians (northwestern)" "NA"
"Ngiyambaa" "Patrilocal"
"Mee" "Patrilocal"
"Motu" "Patrilocal"
"Kakoli" "Patrilocal"
"Kwoma" "Patrilocal"
"Kiwai" "Patrilocal"
"Miriam" "Patrilocal"
"Abelam" "Patrilocal"
"Kutubu" "Neolocal"
"Siane" "Neolocal"
"Kimam" "NA"
"Marind-Amin" "Neolocal"
"Wantoat" "Patrilocal"
"Koita" "Patrilocal"
"Mailu" "Patrilocal"
"Mekeo" "Patrilocal"
"Muju" "Patrilocal"
"Koiari" "Patrilocal"
"Mafulu" "Patrilocal"
"Ngarawapum" "Patrilocal"
"Banaro" "Patrilocal"
"Busama" "Patrilocal"
"Manam" "Patrilocal"
"Arapesh" "Patrilocal"
"Mimika" "Matrilocal"
"Fore" "Patrilocal"
"Sio" "Patrilocal"
"Soromadja" "Patrilocal"
"Bgu" "Ambilocal"
"Iatmul" "Patrilocal"
"Samarokena" "Patrilocal"
"Star Mountain" "Patrilocal"
"Dani" "Patrilocal"
"Elema" "Patrilocal"
"Wogeo" "Patrilocal"
"Keraki" "Patrilocal"
"Waropen" "Patrilocal"
"Enga" "Patrilocal"
"Purari" "Patrilocal"
"Orokaiva" "Patrilocal"
"Palauans" "Matrilocal"
"Nomoians" "Matrilocal"
"Kosraeans" "Patrilocal"
"Bikinians" "Matrilocal"
"Nauruans" "Matrilocal"
"Makin" "NA"
"Carolinians" "Matrilocal"
"Lamotrek" "Matrilocal"
"Marshallese - Jaluit atoll" "Matrilocal"
"Trukese" "Matrilocal"
"Majuro" "Ambilocal"
"Ifaluk" "Ambilocal"
"Ponapeans" "Matrilocal"
"Yapese" "Patrilocal"
"Gilbert Onotoa" "NA"
"Chamorro" "Neolocal"
"Ulithians" "NA"
"Siuai" "Matrilocal"
"Usiai" "Patrilocal"
"Rossel Islanders" "NA"
"Choiseulese" "NA"
"Aua" "Neolocal"
"Dahuni" "Patrilocal"
"Bakovi" "Patrilocal"
"Bwaidoga" "Patrilocal"
"Kombe" "Patrilocal"
"Kwaio" "Patrilocal"
"Molima" "Patrilocal"
"Trobriands" "Matrilocal"
"Kaoka" "Matrilocal"
"Tangu" "Matrilocal"
"Kurtatchi" "Ambilocal"
"Lesu" "Matrilocal"
"Dobuans" "Matrilocal"
"Ulawans" "Patrilocal"
"Lakalai" "Patrilocal"
"Simboese" "Ambilocal"
"Manus" "Patrilocal"
"Mota" "Matrilocal"
"Tannese" "Patrilocal"
"Epi" "NA"
"Eromangans" "Patrilocal"
"Ranon" "Patrilocal"
"Mbau Fijians" "Patrilocal"
"Seniang" "Patrilocal"
"Bunlap" "Patrilocal"
"Lau" "Patrilocal"
"Ajie" "Patrilocal"
"Rotumans" "Matrilocal"
"Lifu" "Patrilocal"
"Vanua Levu" "Patrilocal"
"Santa Cruz Islanders" "Patrilocal"
"American Samoans" "Ambilocal"
"Rennell Islanders" "NA"
"Tongans" "Patrilocal"
"Uveans" "NA"
"Upolu Samoans" "NA"
"Tikopia" "Patrilocal"
"Pukapukans" "Patrilocal"
"Ellice" "NA"
"Ontong Java" "NA"
"Tokelau" "NA"
"Kapingamarangi" "Ambilocal"
"Futunans" "NA"
"Niueans" "NA"
"Mangaians" "NA"
"Tongarevans" "NA"
"Māori" "Patrilocal"
"Marquesans" "Patrilocal"
"Manihikians" "NA"
"Raroians" "Ambilocal"
"Hawaiians" "Ambilocal"
"Mangarevans" "NA"
"Tahitians" "Ambilocal"
"Easter Islanders" "NA"
"Nabesna" "NA"
"Chugach" "Patrilocal"
"Sivokakmeit" "Patrilocal"
"Nunamiut" "Ambilocal"
"Baffin Island Inuit" "Neolocal"
"Inughuit (Northern Greenland)" "Ambilocal"
"Tlicho" "Patrilocal"
"Délįne" "NA"
"DeneTha" "NA"
"Dakelh" "Matrilocal"
"Tareumiut" "Ambilocal"
"Kutchin" "NA"
"Caribou Inuit" "Ambilocal"
"Iglulik Inuit" "NA"
"Labrador Inuit" "Patrilocal"
"Tasiilaq" "NA"
"Kalaallit (West Greenland)" "NA"
"Dena'ina" "Patrilocal"
"Tahltan" "Matrilocal"
"Sekani" "Patrilocal"
"Beaver" "Matrilocal"
"Copper Inuit" "Neolocal"
"Dene" "Patrilocal"
"Eastern Cree" "NA"
"Montagnais" "Patrilocal"
"Northern Saulteaux" "NA"
"Pekangekum" "Patrilocal"
"Nipigon" "NA"
"Minnesota Ojibwa" "Neolocal"
"Rainy River Ojibwe" "Ambilocal"
"Katikitegon" "Patrilocal"
"Eastern Ojibwa" "NA"
"Kaska" "Matrilocal"
"Ottawa" "NA"
"Mi'kmaq" "Patrilocal"
"Potawatomi" "Patrilocal"
"Netsilik" "NA"
"Taqagmiut" "NA"
"Mistissini Cree" "NA"
"Naskapi" "Ambilocal"
"Nunivak" "Patrilocal"
"Attawapiskat Cree" "NA"
"Deg Xit'an" "NA"
"Aleut" "Patrilocal"
"Haida" "Matrilocal"
"Alkatcho" "NA"
"Nuu chah nulth" "NA"
"Klahoose" "NA"
"Squamish" "Patrilocal"
