"name" "value"
"Chamorro" "Neolocal"
"Ulithians" "Patrilocal"
"Nomoians" "Matrilocal"
"Kusaians" "Patrilocal"
"Bikinians" "Matrilocal"
"Nauruans" "Matrilocal"
"Picuris" "Neolocal"
"Isleta" "Neolocal"
"Tewa" "Neolocal"
"Santa Ana" "Ambilocal"
"Acoma" "Ambilocal"
"Laguna" "Matrilocal"
"Mescalero" "Matrilocal"
"Jicarilla" "Matrilocal"
"Western Apache" "Matrilocal"
"Hopi" "Matrilocal"
"Cocopa" "Patrilocal"
"Kamia" "Patrilocal"
"Mohave" "Ambilocal"
"Yuma" "Patrilocal"
"Piaroa" "Matrilocal"
"Curipaco" "Patrilocal"
"Locono" "Matrilocal"
"Camaracoto" "Patrilocal"
"Macusi" "Matrilocal"
"Panare" "Matrilocal"
"Rucuyen" "Matrilocal"
"Taulipang" "Matrilocal"
"Yekuana" "Matrilocal"
"Rhade" "Matrilocal"
"Orokaiva" "Patrilocal"
"Aleut" "Patrilocal"
"Chugach" "Patrilocal"
"Sivokakmeit" "Patrilocal"
"Nunamiut" "Ambilocal"
"Baffinland" "Neolocal"
"Polar Eskimo" "Ambilocal"
"Dogrib" "Patrilocal"
"Satudene" "Patrilocal"
"Slave" "Patrilocal"
"Chilcotin (1)" "Patrilocal"
"Carrier" "Matrilocal"
"Kutchin" "Patrilocal"
"Haisia" "Matrilocal"
"Bellacoola" "Patrilocal"
"Alkatcho" "Patrilocal"
"Nootka" "Patrilocal"
"Klahuse" "Patrilocal"
"Squamish" "Patrilocal"
"Comox" "Patrilocal"
"Lummi" "Patrilocal"
"Klallam" "Patrilocal"
"Puyallup" "Patrilocal"
"Quileute" "Patrilocal"
"Chinook" "Patrilocal"
"Tillamok" "Patrilocal"
"Coos" "Patrilocal"
"Caribou Eskimo" "Ambilocal"
"Iglulik" "Patrilocal"
"Labrador Eskimo" "Patrilocal"
"Angmagsalik" "Patrilocal"
"Greenlanders" "Patrilocal"
"Tanaina" "Patrilocal"
"Tahltan" "Matrilocal"
"Sekani" "Patrilocal"
"Beaver" "Matrilocal"
"Chipewyan" "Patrilocal"
"Eastern Cree" "Matrilocal"
"Montagnais" "Patrilocal"
"Northern Saulteaux" "Patrilocal"
"Pekangekum" "Patrilocal"
"Nipigon" "Patrilocal"
"Chippewa" "Neolocal"
"Rainy River" "Ambilocal"
"Katikitegon" "Patrilocal"
"Eastern Ojibwa" "Patrilocal"
"Ottawa" "NA"
"Micmac" "Patrilocal"
"Tlingit" "Matrilocal"
"Bellabella" "Patrilocal"
"Makah" "Patrilocal"
"Quinault" "Patrilocal"
"Cowichan" "Patrilocal"
"Stalo" "Patrilocal"
"Alsea" "Patrilocal"
"Siuslaw" "Patrilocal"
"Takelma" "Patrilocal"
"Tututni" "Patrilocal"
"Shasta" "Patrilocal"
"Chimariko" "Ambilocal"
"Karok" "Patrilocal"
"Hupa" "Patrilocal"
"Wiyot" "Patrilocal"
"Lassik" "Ambilocal"
"Mattole" "Patrilocal"
"Sinkyone" "Ambilocal"
"Klamath" "Patrilocal"
"Modoc" "Patrilocal"
"Achomawi" "Patrilocal"
"Yana" "Patrilocal"
"Maidu" "Patrilocal"
"Nisenan" "Patrilocal"
"Wintu" "Patrilocal"
"Coast Yuki" "Ambilocal"
"Huchnom" "Patrilocal"
"Northern Pomo" "Ambilocal"
"Eastern Pomo" "Ambilocal"
"Southern Pomo" "Matrilocal"
"Wappo" "Ambilocal"
"Lake Miwok" "NA"
"Patwin" "Ambilocal"
"Monachi" "Patrilocal"
"Lake Yokuts" "Patrilocal"
"Wukchumni" "Patrilocal"
"Salinan" "Patrilocal"
"Kawaiisu" "Patrilocal"
"Chumash" "Patrilocal"
"Gabrielo" "Patrilocal"
"Serrano" "Patrilocal"
"Cahuilla" "Patrilocal"
"Cupeno" "Patrilocal"
"Luiseno" "Patrilocal"
"Kiliwa" "Patrilocal"
"Chilcotin (2)" "Patrilocal"
"Lillooet" "Patrilocal"
"Thompson" "Patrilocal"
"Shuswap" "Patrilocal"
"Flathead" "Patrilocal"
"Kalispel" "Patrilocal"
"Coeur d'Alene" "Patrilocal"
"Sinkaitk" "Ambilocal"
"Wenatchi" "Patrilocal"
"Klikitat" "Matrilocal"
"Wishram" "Patrilocal"
"Umatilla" "Patrilocal"
"Nez Perce" "Patrilocal"
"Tagotoka" "Ambilocal"
"Wadadokado" "Matrilocal"
"Atsakudokwa" "Ambilocal"
"Kidutokado" "Ambilocal"
"Sawakudokwa" "Matrilocal"
"Wadatkuht" "Ambilocal"
"Kuyuidokado" "Matrilocal"
"Toedokado" "Ambilocal"
"Tunava" "Ambilocal"
"Eastern Mono" "Patrilocal"
"Koso" "Patrilocal"
"Panamint" "Matrilocal"
"Beatty" "Ambilocal"
"Lida Shoshoni" "Ambilocal"
"Mahaguaduka" "Patrilocal"
"Wiyambituka" "Patrilocal"
"Hamilton" "Ambilocal"
"Ely Shoshoni" "Ambilocal"
"Spring Valley" "Ambilocal"
"Tubaduka" "Matrilocal"
"Wadaduka" "Patrilocal"
"Elko Shoshoni" "Ambilocal"
"White Knife" "Matrilocal"
"Yahanduka" "Matrilocal"
"Bohogue" "Ambilocal"
"Agaiduka" "Patrilocal"
"Tukudika" "Patrilocal"
"Gosiute" "Matrilocal"
"Antarianunts" "Matrilocal"
"Panguitch" "NA"
"Moapa" "Matrilocal"
"Shivwits" "Ambilocal"
"Kaibab" "Patrilocal"
"Chemehuevi" "Ambilocal"
"Las Vegas" "Ambilocal"
"San Juan" "Matrilocal"
"Pahvant" "Matrilocal"
"Uintah" "Matrilocal"
"Moanunts" "Matrilocal"
"Moache" "Matrilocal"
"Taviwatsiu" "Matrilocal"
"Uncompahgre" "Matrilocal"
"Bannock" "Matrilocal"
"Wind River" "Matrilocal"
"Walapai" "Patrilocal"
"Yavapai" "Ambilocal"
"Tolkepaya" "Ambilocal"
"Anaguta" "Patrilocal"
